Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.040
5.000 90.109 0.042
10.000 90.435 0.040
15.000 90.976 0.042
20.000 91.728 0.040
25.000 92.685 0.044
30.000 93.841 0.044
35.000 95.188 0.042
40.000 96.718 0.047
45.000 98.421 0.049
50.000 100.289 0.044
55.000 102.311 0.044
60.000 104.478 0.061
65.000 106.780 0.047
70.000 109.207 0.063
75.000 111.752 0.053
80.000 114.404 0.055
85.000 117.156 0.058
90.000 120.000 0.088
95.000 122.928 0.068
100.000 125.932 0.103
105.000 129.007 0.085
110.000 132.145 0.084
115.000 135.342 0.090
120.000 138.590 0.121
125.000 141.886 0.128
130.000 145.225 0.128
135.000 148.600 0.125
140.000 152.009 0.156
145.000 155.447 0.151
150.000 158.909 0.155
155.000 162.393 0.166
160.000 165.894 0.190
165.000 169.409 0.184
170.000 172.933 0.184
175.000 176.465 0.191
180.000 180.000 0.187
